chain_id,segment_id,x_cm,y_cm,z_cm
0.000000000000000000e+00,2.600000000000000000e+01,2.646831190171605175e-01,6.984373143287696983e+00,4.640872923602087141e+00
0.000000000000000000e+00,2.700000000000000000e+01,1.732492940641507939e-01,6.991327968397321513e+00,4.680766357424671398e+00
0.000000000000000000e+00,2.800000000000000000e+01,9.154623127318578524e-02,6.010767622824708667e-03,4.736524988482823773e+00
0.000000000000000000e+00,2.900000000000000000e+01,1.823937278283684071e-02,2.867683986508429150e-02,4.800652624236722232e+00
0.000000000000000000e+00,3.000000000000000000e+01,6.949044241915416364e+00,4.809580400266497135e-02,4.870186340490522348e+00
0.000000000000000000e+00,3.100000000000000000e+01,6.873101848564646232e+00,7.012754036451554485e-02,4.931401987877761961e+00
0.000000000000000000e+00,3.200000000000000000e+01,6.795164841147481205e+00,7.714241665661575320e-02,4.993664451573501140e+00
0.000000000000000000e+00,3.300000000000000000e+01,6.733667077954397229e+00,7.622169010857009208e-02,5.072513531370738349e+00
0.000000000000000000e+00,3.400000000000000000e+01,6.668013977755923527e+00,6.819470652210379846e-02,5.147515117812837993e+00
0.000000000000000000e+00,3.500000000000000000e+01,6.598448068033916591e+00,3.749667195607951642e-02,5.212462903597518959e+00
0.000000000000000000e+00,3.600000000000000000e+01,6.515363480650086636e+00,1.200399397824569725e-02,5.261930819550965310e+00
0.000000000000000000e+00,3.700000000000000000e+01,6.432191979574368723e+00,6.991581341478362077e+00,5.313558493076710576e+00
0.000000000000000000e+00,3.800000000000000000e+01,6.346238500101112123e+00,6.954683469409894236e+00,5.348921558600777004e+00
0.000000000000000000e+00,3.900000000000000000e+01,6.272297704620052983e+00,6.918490610363650539e+00,5.405691583417461032e+00
0.000000000000000000e+00,4.000000000000000000e+01,6.198527407178371362e+00,6.879699177435324664e+00,5.460947062301758415e+00
0.000000000000000000e+00,4.100000000000000000e+01,6.124351414362012136e+00,6.859600221740365988e+00,5.524931076474671521e+00
0.000000000000000000e+00,4.200000000000000000e+01,6.065672266310121685e+00,6.822617229714253106e+00,5.596965900585658460e+00
