chain_id,segment_id,x_cm,y_cm,z_cm
3.000000000000000000e+00,2.000000000000000000e+00,2.482395930025335762e+00,5.266479783275982207e+00,1.779345952715876145e+00
3.000000000000000000e+00,3.000000000000000000e+00,2.556110697772631113e+00,5.128149228468674714e+00,1.655125219250545454e+00
3.000000000000000000e+00,4.000000000000000000e+00,2.667494211879378518e+00,5.032171965865111396e+00,1.519544697609866102e+00
3.000000000000000000e+00,5.000000000000000000e+00,2.829303477200111772e+00,5.004748846213533220e+00,1.405239255198142745e+00
3.000000000000000000e+00,6.000000000000000000e+00,2.986103803216752617e+00,4.928160117929510697e+00,1.307526285429993607e+00
3.000000000000000000e+00,7.000000000000000000e+00,3.160249031825532295e+00,4.855519160120921107e+00,1.241218438221337372e+00
3.000000000000000000e+00,8.000000000000000000e+00,3.294548252091947127e+00,4.789383136257239215e+00,1.108592099271129117e+00
3.000000000000000000e+00,9.000000000000000000e+00,3.365189416961372526e+00,4.719776957655312799e+00,9.349119169637415405e-01
3.000000000000000000e+00,1.000000000000000000e+01,3.466427804143360714e+00,4.625244271971942212e+00,7.906400891584527413e-01
3.000000000000000000e+00,1.100000000000000000e+01,3.557933698450348459e+00,4.596151561849858957e+00,6.151969772251799640e-01
3.000000000000000000e+00,1.200000000000000000e+01,3.669873312495812279e+00,4.575821251289543312e+00,4.507092838257231726e-01
3.000000000000000000e+00,1.300000000000000000e+01,3.785225190653362937e+00,4.576853740297669226e+00,2.873297313352914939e-01
3.000000000000000000e+00,1.400000000000000000e+01,3.910975258443551095e+00,4.499510227060458334e+00,1.524041910885001738e-01
3.000000000000000000e+00,1.500000000000000000e+01,4.038013784402491702e+00,4.488551364716064640e+00,6.998322666374158452e+00
3.000000000000000000e+00,1.600000000000000000e+01,4.186024393474697014e+00,4.435048784153338808e+00,6.874911429141871366e+00
3.000000000000000000e+00,1.700000000000000000e+01,4.334314562570335205e+00,4.415570796017139088e+00,6.742131032517395539e+00
3.000000000000000000e+00,1.800000000000000000e+01,4.437422327813987266e+00,4.356137076712388811e+00,6.581393912485761000e+00
3.000000000000000000e+00,1.900000000000000000e+01,4.559849907920505707e+00,4.331916928390319832e+00,6.425109325771271251e+00
3.000000000000000000e+00,2.000000000000000000e+01,4.735338756942732985e+00,4.328903033449571502e+00,6.329220951574291654e+00
3.000000000000000000e+00,2.100000000000000000e+01,4.900718079689891482e+00,4.281697530992929934e+00,6.227136084206462030e+00
3.000000000000000000e+00,2.200000000000000000e+01,5.083134784503819503e+00,4.287210063086807743e+00,6.145320695710518422e+00
3.000000000000000000e+00,2.300000000000000000e+01,5.242369710591209042e+00,4.356962668262530869e+00,6.046432817863215625e+00
3.000000000000000000e+00,2.400000000000000000e+01,5.415548909592317273e+00,4.387909015957740522e+00,5.951294557433135957e+00
3.000000000000000000e+00,2.500000000000000000e+01,5.601708111260716549e+00,4.448249115083852345e+00,5.910017153546319513e+00
4.000000000000000000e+00,0.000000000000000000e+00,7.218670818515282583e-01,6.317870346756966349e+00,3.536766607135000129e+00
4.000000000000000000e+00,1.000000000000000000e+00,6.275884998964478267e-01,6.488906071876543891e+00,3.493658258554249940e+00
4.000000000000000000e+00,2.000000000000000000e+00,5.973199863989591130e-01,6.657561960430986581e+00,3.390512689834291660e+00
4.000000000000000000e+00,3.000000000000000000e+00,6.188747302807902084e-01,6.814072987560845007e+00,3.267876270272460637e+00
4.000000000000000000e+00,4.000000000000000000e+00,6.186944399026169661e-01,6.967152825670155813e+00,3.139165234771200019e+00
4.000000000000000000e+00,5.000000000000000000e+00,6.578628984574896865e-01,1.137380850647762287e-01,3.008863302388571803e+00
4.000000000000000000e+00,6.000000000000000000e+00,7.242870049348938410e-01,2.523889626391691010e-01,2.880942341531762985e+00
4.000000000000000000e+00,7.000000000000000000e+00,7.615324437772060806e-01,4.358570714804503865e-01,2.810570256699441938e+00
4.000000000000000000e+00,8.000000000000000000e+00,8.764999547223886189e-01,5.893733443255673166e-01,2.753867299115089207e+00
